id,caminho_atual,pacote_origem,arquivo_origem_no_zip,sha256,tamanho,area_modulo,destino_recomendado,destino_logico,procedencia,licenca,linguagem_funcao,tipo,dependencias,imports,mocks,segredos,riscos_seguranca,riscos_operacionais,compatibilidade,testes_necessarios,recomendacao,confianca,justificativa,aprovacao_humana
785,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/bridge_script.js,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/bridge_script.js,3d9757ee8f7b3dacdb6ec732061d89ed4199d44578210d6626a0fa06f1ba2046,18480,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/bridge_script.js,apps/web-banking/reference-prototypes/corporate-we-bank/bridge_script.js,CONHECIDA,PRESENTE,.js,código-fonte/protótipo,N/A,N/A,N/A,SIM,ALTO,BAIXO,ALTA,SIM,REJEITAR,ALTA,Segredo potencial detectado. O arquivo deve ser rejeitado ou expurgado.,SIM
786,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/AI/RaphaelaOrb.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/AI/RaphaelaOrb.tsx,91e46f308cc5e3f467a38f1e7a5755ba773a6be004df1e5a132ee45c129283d0,10672,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/AI/RaphaelaOrb.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/AI/RaphaelaOrb.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
787,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/AI/VoiceWave.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/AI/VoiceWave.tsx,b59bb03a0d9fcddf3390973a97bf84325e2ddff42b69ca90223949d9b5582af1,899,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/AI/VoiceWave.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/AI/VoiceWave.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
788,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Auth/LoginScreen.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Auth/LoginScreen.tsx,983b97a430df78fc4f840d9d7155a564ba88f3ce6d7d73ce07cc24b4b8bfc472,27624,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Auth/LoginScreen.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Auth/LoginScreen.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
789,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Banking/PixArea.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Banking/PixArea.tsx,45ff0954016d8d62a9a6077beb44a334765daa57a6185b7d4d1ea31c2d63888f,34326,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Banking/PixArea.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Banking/PixArea.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
790,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Banking/TransferArea.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Banking/TransferArea.tsx,0636ac1c00322755277d796d80749c347fb174e8372d654adc35cf79ab35c3a0,27438,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Banking/TransferArea.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Banking/TransferArea.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
791,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Dashboard/DonutChart.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Dashboard/DonutChart.tsx,4d232e8ecdc959f3da4d3ef6390bf6f041e4551bd0754b0c325991806c2d1068,4728,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Dashboard/DonutChart.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Dashboard/DonutChart.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
792,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Infographic.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Infographic.tsx,4e8ec6353f5efc6155ee0c1f332b09103ffad0fb5d3599e203c43c24506f528e,8343,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Infographic.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Infographic.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
793,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/IntroScreen.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/IntroScreen.tsx,bdc4f91f374e846cfbc2f238eb2148cd82c0dd455165f3b08e0a8a62d8779239,7641,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/IntroScreen.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/IntroScreen.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
794,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Loading.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Loading.tsx,1aff77627fe94e034e4f20381b9706195cffa6ff567f7b254070c9c71895bf9d,1373,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Loading.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Loading.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
795,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Cards.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Modules/Cards.tsx,e8f0850104a4a1b283f086afe78d1af01220f1c0be062eb81e17a9b3e7d002b8,24779,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Cards.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Modules/Cards.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
796,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Crypto.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Modules/Crypto.tsx,e3afd350f31e94e315bf0e1d9cf8bdf602dc00b58f3b2951e54a512afbe5a87f,6458,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Crypto.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Modules/Crypto.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
797,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Investments.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Modules/Investments.tsx,9787f21e0b755fadfc2db2a3110332661b99d776aaaaa14b66bb4c3fb9d4fe51,5472,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Investments.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Modules/Investments.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
798,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/LifestyleExtended.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Modules/LifestyleExtended.tsx,93dd3c3e03a6e5ff3685041e8cf3280d97da858ee75343a52262cd9d7545c2f3,15619,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/LifestyleExtended.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Modules/LifestyleExtended.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
799,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/NeuralInsights.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Modules/NeuralInsights.tsx,ef9928b6360cbeddfc1b2f7b67530284fa5671fbff3ad8e42a71f6b9ac405184,8201,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/NeuralInsights.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Modules/NeuralInsights.tsx,CONHECIDA,AUSENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
800,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Pix.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Modules/Pix.tsx,f30bce3347b563618d542a80ebfa7d8e615c035822e17c11dd17e597608aa77f,9018,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Pix.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Modules/Pix.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
801,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/RegeneraExtra.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Modules/RegeneraExtra.tsx,e194798011289e06b53d4fb5c900ea30b1aa5f208b864a792b223473cdf70301,45193,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/RegeneraExtra.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Modules/RegeneraExtra.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
802,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/SystemExtended.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Modules/SystemExtended.tsx,8edea2f658726c5c9336432c493de985d36e8ba346bab196e064248391ed8926,13797,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/SystemExtended.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Modules/SystemExtended.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
803,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Transactions.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Modules/Transactions.tsx,82b6d936a0749bb32aac55e2cb1f7b65df98618b9ee0d2ac28cf3d9325ff60c7,12547,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Transactions.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Modules/Transactions.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
804,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/WealthExtended.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/Modules/WealthExtended.tsx,9b72a769a26b23bf56cc14f9df68896cc58eace49c9ee8111fd573f98f9ab5e7,10902,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/WealthExtended.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/Modules/WealthExtended.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
805,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/SearchResults.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/SearchResults.tsx,bc2dc24830a97c10f24e6440ee736f48a7c542d48d2b55acf71fd3156b13feb1,2897,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/SearchResults.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/SearchResults.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
806,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/ErrorBoundary.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/UI/ErrorBoundary.tsx,0e0790e7783769f764757d45739597deec6b7fc8eb290e62e14ba6d0653b2e50,2463,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/ErrorBoundary.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/UI/ErrorBoundary.tsx,CONHECIDA,AUSENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
807,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/MapWidget.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/UI/MapWidget.tsx,70008a25af13cd3457ec5d513e37f5eabe69774a5baebebda7de7d5565811a2a,5562,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/MapWidget.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/UI/MapWidget.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
808,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/PremiumChart.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/components/UI/PremiumChart.tsx,83bb98927a157c11412fbb24d0813aa5320398d70a4c115d1f972e22a32485c9,4279,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/PremiumChart.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/components/UI/PremiumChart.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
