id,arquivo_atual,caminho_origem_resolvido,caminho_staging,destino_recomendado,existencia_origem,existencia_staging,existencia_destino,sha256_origem,sha256_staging,sha256_destino,igualdade_hashes,destino_topologicamente_correto,origem_preservada,ausencia_sobrescrita,resultado_final
289,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/assets/android-icon-monochrome.png,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/assets/android-icon-monochrome.png,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/assets/android-icon-monochrome.png,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/assets/android-icon-monochrome.png,SIM,SIM,SIM,456637d2f23b8d42aacfdd39464a7b0fa02a0052b39c0413e1dffb35f3d3d4c9,456637d2f23b8d42aacfdd39464a7b0fa02a0052b39c0413e1dffb35f3d3d4c9,456637d2f23b8d42aacfdd39464a7b0fa02a0052b39c0413e1dffb35f3d3d4c9,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
290,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/assets/favicon.png,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/assets/favicon.png,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/assets/favicon.png,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/assets/favicon.png,SIM,SIM,SIM,e821730ed129e594c485c2d376b40ae7f0bc52303fa464ba46ad8a39cb17a60e,e821730ed129e594c485c2d376b40ae7f0bc52303fa464ba46ad8a39cb17a60e,e821730ed129e594c485c2d376b40ae7f0bc52303fa464ba46ad8a39cb17a60e,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
291,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/assets/icon.png,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/assets/icon.png,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/assets/icon.png,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/assets/icon.png,SIM,SIM,SIM,376b83593b50266aee5b7d78c4c8a1961d47065b5a1639086817082e620de734,376b83593b50266aee5b7d78c4c8a1961d47065b5a1639086817082e620de734,376b83593b50266aee5b7d78c4c8a1961d47065b5a1639086817082e620de734,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
292,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/assets/splash-icon.png,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/assets/splash-icon.png,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/assets/splash-icon.png,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/assets/splash-icon.png,SIM,SIM,SIM,07aa275aa59e8ab8ece11f125c45dc9842215e178cf97db27d1b4f9f19f2d315,07aa275aa59e8ab8ece11f125c45dc9842215e178cf97db27d1b4f9f19f2d315,07aa275aa59e8ab8ece11f125c45dc9842215e178cf97db27d1b4f9f19f2d315,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
293,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/babel.config.js,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/babel.config.js,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/babel.config.js,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/babel.config.js,SIM,SIM,SIM,a029953a1807638695cae6799fb91cbb0b94cd68cbf77e1bdb53a330029a5196,a029953a1807638695cae6799fb91cbb0b94cd68cbf77e1bdb53a330029a5196,a029953a1807638695cae6799fb91cbb0b94cd68cbf77e1bdb53a330029a5196,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
294,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/eas.json,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/eas.json,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/eas.json,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/eas.json,SIM,SIM,SIM,e4cca332ecdaf1242887ec62b13a03c55687f5fec82f32c93a0ebb7732438011,e4cca332ecdaf1242887ec62b13a03c55687f5fec82f32c93a0ebb7732438011,e4cca332ecdaf1242887ec62b13a03c55687f5fec82f32c93a0ebb7732438011,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
295,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/global.css,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/global.css,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/global.css,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/global.css,SIM,SIM,SIM,cc1a7ad0d019ddb1d32d0ecb588ba0ac26ce41d8625dd6c366348b25f83a28ec,cc1a7ad0d019ddb1d32d0ecb588ba0ac26ce41d8625dd6c366348b25f83a28ec,cc1a7ad0d019ddb1d32d0ecb588ba0ac26ce41d8625dd6c366348b25f83a28ec,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
296,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/index.ts,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/index.ts,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/index.ts,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/index.ts,SIM,SIM,SIM,4181e3097bd36c8dedf669d5d3f893563a0250711b499333d9230ff8a931fce2,4181e3097bd36c8dedf669d5d3f893563a0250711b499333d9230ff8a931fce2,4181e3097bd36c8dedf669d5d3f893563a0250711b499333d9230ff8a931fce2,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
297,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/metro.config.js,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/metro.config.js,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/metro.config.js,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/metro.config.js,SIM,SIM,SIM,99c4338a18767d6d5a6d788cc9f9196637a74258352c7216e33ab8af043a15b8,99c4338a18767d6d5a6d788cc9f9196637a74258352c7216e33ab8af043a15b8,99c4338a18767d6d5a6d788cc9f9196637a74258352c7216e33ab8af043a15b8,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
298,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/nativewind-env.d.ts,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/nativewind-env.d.ts,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/nativewind-env.d.ts,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/nativewind-env.d.ts,SIM,SIM,SIM,cce8e1c5c0e3fac24cad2aef1d0ee4d18464b7bad9c72a79e428889328e118e3,cce8e1c5c0e3fac24cad2aef1d0ee4d18464b7bad9c72a79e428889328e118e3,cce8e1c5c0e3fac24cad2aef1d0ee4d18464b7bad9c72a79e428889328e118e3,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
299,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/package-lock.json,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/package-lock.json,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/package-lock.json,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/package-lock.json,SIM,SIM,SIM,924a9c27967d66335a71c243afaeec71ba9ed272368179298985ae1de9ab4830,924a9c27967d66335a71c243afaeec71ba9ed272368179298985ae1de9ab4830,924a9c27967d66335a71c243afaeec71ba9ed272368179298985ae1de9ab4830,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
300,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/package.json,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/package.json,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/package.json,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/package.json,SIM,SIM,SIM,16ef024f00661faaad02b76640a18720b9b8751006224de92905ace6ccf0482e,16ef024f00661faaad02b76640a18720b9b8751006224de92905ace6ccf0482e,16ef024f00661faaad02b76640a18720b9b8751006224de92905ace6ccf0482e,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
301,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/src/AppRouter.tsx,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/src/AppRouter.tsx,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/src/AppRouter.tsx,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/src/AppRouter.tsx,SIM,SIM,SIM,2e10eed13f0ab2889806876d9fb3fa4e315bf00776328d8508c7d4ebfbe7094e,2e10eed13f0ab2889806876d9fb3fa4e315bf00776328d8508c7d4ebfbe7094e,2e10eed13f0ab2889806876d9fb3fa4e315bf00776328d8508c7d4ebfbe7094e,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
302,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/src/__tests__/AppRouter.test.tsx,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/src/__tests__/AppRouter.test.tsx,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/src/__tests__/AppRouter.test.tsx,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/src/__tests__/AppRouter.test.tsx,SIM,SIM,SIM,1cb47df026a29480a7965e0bec57fe817718714fe045fdede924b1b56c6386f9,1cb47df026a29480a7965e0bec57fe817718714fe045fdede924b1b56c6386f9,1cb47df026a29480a7965e0bec57fe817718714fe045fdede924b1b56c6386f9,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
303,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/src/features/banking/hooks/useHomeLogic.ts,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/src/features/banking/hooks/useHomeLogic.ts,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/src/features/banking/hooks/useHomeLogic.ts,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/src/features/banking/hooks/useHomeLogic.ts,SIM,SIM,SIM,b04312c6bcbb9fda020310fda818c9ed853b6b1233dc543f61ab8e90933d8dd1,b04312c6bcbb9fda020310fda818c9ed853b6b1233dc543f61ab8e90933d8dd1,b04312c6bcbb9fda020310fda818c9ed853b6b1233dc543f61ab8e90933d8dd1,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
304,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/src/features/banking/ui/NotificationsScreen.tsx,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/src/features/banking/ui/NotificationsScreen.tsx,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/src/features/banking/ui/NotificationsScreen.tsx,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/src/features/banking/ui/NotificationsScreen.tsx,SIM,SIM,SIM,cdc4ccaee66d0ff140de48d72a6c48833cadff9b6d8d5c3e760eb57cd465d954,cdc4ccaee66d0ff140de48d72a6c48833cadff9b6d8d5c3e760eb57cd465d954,cdc4ccaee66d0ff140de48d72a6c48833cadff9b6d8d5c3e760eb57cd465d954,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
