id,caminho,dominio,funcao_arquitetural,consumidores,contratos,invariantes,estados_erro,requisitos_idempotencia,requisitos_auditoria,requisitos_observabilidade,requisitos_seguranca,dependencias,migrations_relacionadas,testes_minimos,criterios_aceite,decisoes_ausentes,status_p0
5662,governance/regulatory/cybersecurity/.tool-versions,GOVERNANÇA REGULATÓRIA,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
5778,governance/regulatory/pix/.tool-versions,GOVERNANÇA REGULATÓRIA,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
5780,governance/regulatory/pix/CODEOWNERS,GOVERNANÇA REGULATÓRIA,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
6021,governance/runbooks/operations/accounting/.tool-versions,OPERAÇÃO 24×7,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
6206,governance/runbooks/operations/customer-support/.tool-versions,OPERAÇÃO 24×7,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
6354,governance/runbooks/operations/payment/.tool-versions,OPERAÇÃO 24×7,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_CONTRACT_REQUIRED
6356,governance/runbooks/operations/payment/CODEOWNERS,OPERAÇÃO 24×7,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_CONTRACT_REQUIRED
6391,governance/runbooks/operations/pix/.tool-versions,OPERAÇÃO 24×7,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
6393,governance/runbooks/operations/pix/CODEOWNERS,OPERAÇÃO 24×7,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
6428,governance/runbooks/operations/reconciliation/.tool-versions,OPERAÇÃO 24×7,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
7979,platform/security/appsec/.tool-versions,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
7981,platform/security/appsec/CODEOWNERS,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8016,platform/security/cloud/.tool-versions,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8018,platform/security/cloud/CODEOWNERS,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8053,platform/security/detection/.tool-versions,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8055,platform/security/detection/CODEOWNERS,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8090,platform/security/iam/.tool-versions,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8092,platform/security/iam/CODEOWNERS,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8127,platform/security/incident-response/.tool-versions,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8164,platform/security/kms-hsm/.tool-versions,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8166,platform/security/kms-hsm/CODEOWNERS,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8201,platform/security/mobile/.tool-versions,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8203,platform/security/mobile/CODEOWNERS,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8238,platform/security/pam/.tool-versions,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8240,platform/security/pam/CODEOWNERS,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8275,platform/security/pki/.tool-versions,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8277,platform/security/pki/CODEOWNERS,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8312,platform/security/red-team/.tool-versions,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8314,platform/security/red-team/CODEOWNERS,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8349,platform/security/threat-intelligence/.tool-versions,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8386,platform/security/vulnerability-management/.tool-versions,SEGURANÇA TRANSVERSAL,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
8675,platform/tools/migration-validator/.tool-versions,FERRAMENTAS DE ENGENHARIA,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
9226,quality/security/.tool-versions,QUALIDADE E HOMOLOGAÇÃO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
9228,quality/security/CODEOWNERS,QUALIDADE E HOMOLOGAÇÃO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
