conflict_id,candidato_id,caminho_fisico,sha256_esperado,sha256_confirmado,módulo,tipo_de_arquivo,função_real,classificação_anterior,classificação_forense,consumidor_ativo,contrato_relacionado,teste_relacionado,impacto_funcional,capacidade_p0_anterior,capacidade_p0_confirmada,vínculo_p0,destino_por_modulo,decisão_realmente_necessária,confiança,status
550,550-A,,3690f695776058287d5e664d2621818e00dab0a362873460326dd6448816b74b,3690f695776058287d5e664d2621818e00dab0a362873460326dd6448816b74b,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
593,593-A,,29af5118a356d86a749b4631cf5206cc2966bcd3b7f5ff4f2e60ec43503d5e30,29af5118a356d86a749b4631cf5206cc2966bcd3b7f5ff4f2e60ec43503d5e30,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
607,607-A,,c480b86a3891d964710a0a472539e04c396a1f06f4238cbecb024b2f9f80c485,c480b86a3891d964710a0a472539e04c396a1f06f4238cbecb024b2f9f80c485,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
611,611-A,,57cd00622a1d4d28b3334a84fa8aa55a30b8a87ad72dcbf35be9113193d38d22,57cd00622a1d4d28b3334a84fa8aa55a30b8a87ad72dcbf35be9113193d38d22,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
667,667-A,,29af5118a356d86a749b4631cf5206cc2966bcd3b7f5ff4f2e60ec43503d5e30,29af5118a356d86a749b4631cf5206cc2966bcd3b7f5ff4f2e60ec43503d5e30,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
668,668-A,,44e27e84591e181fe3480d08af6ef2690e8e9f32639db9dc00b5c26085c4f565,44e27e84591e181fe3480d08af6ef2690e8e9f32639db9dc00b5c26085c4f565,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
677,677-A,,ac3dd62c3973e4891c66ee3aa10c57d6a958041ce5ac009b6a085ced2c26920c,ac3dd62c3973e4891c66ee3aa10c57d6a958041ce5ac009b6a085ced2c26920c,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
687,687-A,,2e10e920f8a25ba0ffc0f49d923b7f42332a503374d421bbc5df1a6ea5036cd0,2e10e920f8a25ba0ffc0f49d923b7f42332a503374d421bbc5df1a6ea5036cd0,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
691,691-A,,2fa5a6fd84b2f0b5425f05098dd280570837f86b4116c9c230e0ffed5dbbcff8,2fa5a6fd84b2f0b5425f05098dd280570837f86b4116c9c230e0ffed5dbbcff8,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
701,701-A,,70eaaa765e34f4528b22c583b0a6a7ceda1fc79feb18f0efc24dc1e03faa8d7f,70eaaa765e34f4528b22c583b0a6a7ceda1fc79feb18f0efc24dc1e03faa8d7f,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
708,708-A,,4bdd2ee70bf56fbbb7a784623bd23ce68e60b30cff1a2e994591c7f4b4340d95,4bdd2ee70bf56fbbb7a784623bd23ce68e60b30cff1a2e994591c7f4b4340d95,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
765,765-A,,a0d754f79f955ad9768300246c086c5805a70c6b0ca5ddffa3915b820c0dce44,a0d754f79f955ad9768300246c086c5805a70c6b0ca5ddffa3915b820c0dce44,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
768,768-A,,6901b939b12e5c0a7017993d32bbb4075aad3dbfd000118ce85dae7ecc4b99cf,6901b939b12e5c0a7017993d32bbb4075aad3dbfd000118ce85dae7ecc4b99cf,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
769,769-A,,4833d0895f451f40e60b7ef25b070db5eb5e2c53bfad484fd16dbb34a71e6541,4833d0895f451f40e60b7ef25b070db5eb5e2c53bfad484fd16dbb34a71e6541,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
890,890-A,,915cc913fc584aba92a6b46733f1602064c5132181cf7d86f7d946e8dd84985a,915cc913fc584aba92a6b46733f1602064c5132181cf7d86f7d946e8dd84985a,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
893,893-A,,d6916e11d788bc28ba035f15d26f4c4505c128962bb0ba8e7a52d9f582deeec0,d6916e11d788bc28ba035f15d26f4c4505c128962bb0ba8e7a52d9f582deeec0,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
897,897-A,,96d9a4ed9fa990f2358d2fffa895b4e3fe0d2ca6d6670b3351307b455b96935b,96d9a4ed9fa990f2358d2fffa895b4e3fe0d2ca6d6670b3351307b455b96935b,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
1130,1130-A,,53b9980efd2cfb3e787bd1d252a084d0f4e10f9b6ce2af030078e84dc80d96e7,53b9980efd2cfb3e787bd1d252a084d0f4e10f9b6ce2af030078e84dc80d96e7,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
1132,1132-A,,b0bf3e07bd3149367e285fc70db5a80b64246c9b26571f0dc5a69849227d0449,b0bf3e07bd3149367e285fc70db5a80b64246c9b26571f0dc5a69849227d0449,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
1164,1164-A,,279ba8fa36fcee3e54136d191c424d98b12d8b7193c8a096945f55270bd44118,279ba8fa36fcee3e54136d191c424d98b12d8b7193c8a096945f55270bd44118,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
1310,1310-A,,9a2c27e06ad60c9bf22c0ce4771db331b67c66b28dd2d10b2de1b710f241ad47,9a2c27e06ad60c9bf22c0ce4771db331b67c66b28dd2d10b2de1b710f241ad47,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
1314,1314-A,,b2a07d2cebdffcaffa14ea267b69717d31e453ea0f20e35ddee3111c9fb82e77,b2a07d2cebdffcaffa14ea267b69717d31e453ea0f20e35ddee3111c9fb82e77,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
1333,1333-A,,eb4f38c3b8d10954af0ef61f1466faada38aa77062f4d7933e701318586a9f5f,eb4f38c3b8d10954af0ef61f1466faada38aa77062f4d7933e701318586a9f5f,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
1406,1406-A,,6a0e4da801526f2ccf7f805528a43eb9724c073e55a4350aa42542266fec0dd9,6a0e4da801526f2ccf7f805528a43eb9724c073e55a4350aa42542266fec0dd9,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
1410,1410-A,,f439407f4dcb4ddfb629e1e8f2b9b10ea94ab237ca76b807cec26b1aaa01b408,f439407f4dcb4ddfb629e1e8f2b9b10ea94ab237ca76b807cec26b1aaa01b408,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
1429,1429-A,,e88d4acb73eea2762a9e29677237fb6b84da1d22f0b612e6554f4678f71c2745,e88d4acb73eea2762a9e29677237fb6b84da1d22f0b612e6554f4678f71c2745,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
1470,1470-A,,52bd2b39e4b5d154f5d1aba8cd748c451699f0f98d47dbc8e272e2a0ace98c43,52bd2b39e4b5d154f5d1aba8cd748c451699f0f98d47dbc8e272e2a0ace98c43,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
1474,1474-A,,ee5c045e1bf83ea9226211d491dd8aafd498adac1977dfa17d76479b8530f1dc,ee5c045e1bf83ea9226211d491dd8aafd498adac1977dfa17d76479b8530f1dc,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
1505,1505-A,,49afc0a641d7fa7d893abe744bce49509eac40d98ac1c3deb3a036e87f533108,49afc0a641d7fa7d893abe744bce49509eac40d98ac1c3deb3a036e87f533108,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
1559,1559-A,,2581cf97b11f7e61ae92698b29541134c27db4adf53586ba95a634964eae0b04,2581cf97b11f7e61ae92698b29541134c27db4adf53586ba95a634964eae0b04,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
1563,1563-A,,4226d9c125caea4d9804869eb3be71743cd89fcb7474bcfd383a5f5748269ed6,4226d9c125caea4d9804869eb3be71743cd89fcb7474bcfd383a5f5748269ed6,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
1582,1582-A,,16cbcfb3b755e6c44000f21d0f7fa0aa0e5333ce6a7187d4af7ea3cc69b07625,16cbcfb3b755e6c44000f21d0f7fa0aa0e5333ce6a7187d4af7ea3cc69b07625,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
2386,2386-A,,989579c296898f745a224bba4514a9cc81ce2bc286362debc17050da6542e390,989579c296898f745a224bba4514a9cc81ce2bc286362debc17050da6542e390,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
2390,2390-A,,7841bb116f0fb019235145bb249701847a6a5b3961191711c1cc1628838c6409,7841bb116f0fb019235145bb249701847a6a5b3961191711c1cc1628838c6409,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
2445,2445-A,,0ff18b973cea3c8bf4b86572191595f270573624b480674d37b35811f59d86e3,0ff18b973cea3c8bf4b86572191595f270573624b480674d37b35811f59d86e3,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
2474,2474-A,,d624a3c6237adf9c55920bb04f488f93f16b89c088fd9f7cf05ffbebcfdfc43f,d624a3c6237adf9c55920bb04f488f93f16b89c088fd9f7cf05ffbebcfdfc43f,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
2478,2478-A,,ae3fbb87893242a53970ca9770a5ff7f5aaa22df529991af5c5656c8a7485ff0,ae3fbb87893242a53970ca9770a5ff7f5aaa22df529991af5c5656c8a7485ff0,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
2503,2503-A,,e20ca5217e52973a7fae3a2837afd5a9bfc1dfa0d14dc8e051db4d3b24a23655,e20ca5217e52973a7fae3a2837afd5a9bfc1dfa0d14dc8e051db4d3b24a23655,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
2757,2757-A,,3780830faf61f21849f0d8dc0d36a99b772bbf879bd0a360d4488a0e342b9715,3780830faf61f21849f0d8dc0d36a99b772bbf879bd0a360d4488a0e342b9715,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
2761,2761-A,,e4cc95e1a1491d03df648ffe4a519f82b0b0c17e68ee601f89e21012ae99f7fe,e4cc95e1a1491d03df648ffe4a519f82b0b0c17e68ee601f89e21012ae99f7fe,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
2779,2779-A,,87032af1497e792c03ee38be019dba6feae51bd76a0bc21ec00796a8570faa74,87032af1497e792c03ee38be019dba6feae51bd76a0bc21ec00796a8570faa74,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
3100,3100-A,,ea5feb9663f9a08e0cebeec3592ddfea6cf6dde243447d49fb4403dc2dbce1b3,ea5feb9663f9a08e0cebeec3592ddfea6cf6dde243447d49fb4403dc2dbce1b3,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
3104,3104-A,,3554c8b42793b311736f98d5ed940eebe900735b3fc8da5ad20f385fca54461f,3554c8b42793b311736f98d5ed940eebe900735b3fc8da5ad20f385fca54461f,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_CONFIRMED,NAO,ALTA,RECLASSIFIED
